סמל יישוב,שם יישוב,סך הכל(2)
7100,אשקלון,514
7100,אשקלון,"1,745"
7100,אשקלון,"4,122"
7100,אשקלון,"5,076"
7100,אשקלון,"3,864"
7100,אשקלון,"9,091"
7100,אשקלון,"4,628"
7100,אשקלון,"1,903"
7100,אשקלון,"3,932"
7100,אשקלון,"6,079"
7100,אשקלון,"3,568"
7100,אשקלון,"4,932"
7100,אשקלון,..
1256,אשרת,587
740,אשתאול,"1,238"
6000,באקה אל-גרביה,"29,950"
21,באר אורה,"1,033"
1376,באר גנים,"1,525"
155,באר טוביה,"1,289"
2530,באר יעקב,"27,768"
1278,באר מילכה,188
9000,באר שבע,"209,687"
9000,באר שבע,"2,264"
9000,באר שבע,"2,158"
9000,באר שבע,"1,928"
9000,באר שבע,"3,252"
9000,באר שבע,"1,037"
9000,באר שבע,"1,175"
9000,באר שבע,"2,382"
9000,באר שבע,"2,574"
9000,באר שבע,"1,052"
9000,באר שבע,"3,455"
9000,באר שבע,"4,611"
9000,באר שבע,"3,923"
9000,באר שבע,"5,205"
9000,באר שבע,"1,760"
9000,באר שבע,"3,349"
9000,באר שבע,"2,925"
9000,באר שבע,"3,045"
9000,באר שבע,"2,415"
9000,באר שבע,"2,129"
9000,באר שבע,"3,385"
9000,באר שבע,"1,364"
9000,באר שבע,"3,017"
9000,באר שבע,"3,562"
9000,באר שבע,"4,939"
9000,באר שבע,"3,136"
9000,באר שבע,610
9000,באר שבע,"6,884"
9000,באר שבע,"2,548"
9000,באר שבע,"6,790"
9000,באר שבע,"6,886"
9000,באר שבע,"7,788"
9000,באר שבע,"5,415"
9000,באר שבע,"5,796"
9000,באר שבע,"4,633"
9000,באר שבע,"3,443"
9000,באר שבע,"3,282"
9000,באר שבע,"1,622"
9000,באר שבע,"3,752"
9000,באר שבע,"1,897"
9000,באר שבע,"3,345"
9000,באר שבע,"3,446"
9000,באר שבע,"2,175"
9000,באר שבע,"3,004"
9000,באר שבע,"3,012"
9000,באר שבע,"4,660"
9000,באר שבע,"4,748"
9000,באר שבע,"5,304"
9000,באר שבע,"2,190"
9000,באר שבע,527
9000,באר שבע,"1,716"
9000,באר שבע,"4,339"
9000,באר שבע,"3,774"
9000,באר שבע,"3,174"
9000,באר שבע,549
9000,באר שבע,"2,865"
9000,באר שבע,"4,792"
9000,באר שבע,"5,105"
9000,באר שבע,"1,204"
9000,באר שבע,"18,368"
450,בארות יצחק,414
697,בארותיים,"1,143"
399,בארי,"1,049"
559,בוסתן הגליל,"1,302"
482,בועיינה-נוג'ידאת,"9,812"
4001,בוקעאתא,"6,610"
698,בורגתה,"1,136"
2043,בחן,"1,084"
762,בטחה,777
234,ביצרון,"1,258"
998,ביר אל-מכסור,"9,522"
1348,ביר הדאג',"5,874"
368,בירייה,839
317,בית אורן,507
3574,בית אל,"5,973"
562,בית אלעזרי,"1,568"
95,בית אלפא,"1,075"
3652,בית אריה-עופרים,"5,253"
1076,בית ברל,198
480,בית ג'ן,"12,001"
619,בית גוברין,435
571,בית גמליאל,"1,019"
466,בית דגן,"7,285"
723,בית הגדי,847
373,בית הלוי,828
322,בית הלל,775
572,בית העמק,578
3645,בית הערבה,350
242,בית השיטה,"1,263"
353,בית זיד,83
710,בית זית,"1,708"
143,בית זרע,578
3575,בית חורון,"1,437"
877,בית חירות,916
2033,בית חלקיה,"1,248"
159,בית חנן,542
800,בית חנניה,907
1050,בית חשמונאי,"2,197"
288,בית יהושע,"1,046"
265,בית יוסף,481
200,בית ינאי,372
326,בית יצחק-שער חפר,"2,131"
430,בית לחם הגלילית,843
751,בית מאיר,878
784,בית נחמיה,879
16,בית ניר,609
672,בית נקופה,744
202,בית עובד,263
301,בית עוזיאל,625
756,בית עזרא,"1,116"
604,בית עריף,"1,174"
212,בית צבי,347
598,בית קמה,"1,405"
365,בית קשת,712
848,בית רבן,"1,018"
1162,בית רימון,876
9200,בית שאן,"18,464"
9200,בית שאן,"4,458"
9200,בית שאן,"2,012"
9200,בית שאן,"5,103"
9200,בית שאן,"6,890"
2610,בית שמש,"124,957"
2610,בית שמש,"11,563"
2610,בית שמש,"5,210"
2610,בית שמש,"5,425"
2610,בית שמש,"3,447"
2610,בית שמש,"4,507"
2610,בית שמש,90
2610,בית שמש,"2,734"
2610,בית שמש,"4,803"
2610,בית שמש,"1,089"
2610,בית שמש,"4,163"
2610,בית שמש,"3,243"
2610,בית שמש,"8,467"
2610,בית שמש,"5,301"
2610,בית שמש,"6,698"
2610,בית שמש,"10,592"
2610,בית שמש,"7,711"
2610,בית שמש,"7,330"
2610,בית שמש,"5,784"
2610,בית שמש,"5,898"
2610,בית שמש,"6,222"
