OBJECTID,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,ACC_INDEX,SUMACCIDEN,INJTOTAL,DEAD,SEVER_INJ,SLIGH_INJ,INJ0_19,INJ20_64,INJ65_,PEDESTRINJ,TOTDRIVERS,VEHICLE,BICYCLE,MOTORCYCLE,PRIVATE,TRUCK
187,רמות מאיר,735,מועצה אזורית,מרכז,גזר,5530,1.285701387,4,5,0,0,5,0,5,0,0,9,9,0,0,7,0
188,שטח כללי - גזר,5530,מועצה אזורית,מרכז,גזר,5530,5.155625224,98,192,2,15,175,32,148,10,1,204,204,1,8,141,19
189,שעלבים,856,מועצה אזורית,מרכז,גזר,5530,12.6717016,61,133,1,4,128,27,92,11,1,133,133,0,4,102,7
190,גן יבנה,166,מועצה מקומית,מרכז,גן יבנה,166,50.73047227,581,802,5,17,780,142,592,50,43,1114,1114,28,52,847,47
191,אירוס,1336,מועצה אזורית,מרכז,גן רוה,5527,2.573206336,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0
192,בית חנן,159,מועצה אזורית,מרכז,גן רוה,5527,11.7315303,94,148,1,1,146,16,123,9,0,195,195,1,7,155,12
193,בית עובד,202,מועצה אזורית,מרכז,גן רוה,5527,15.19413334,27,40,0,0,40,0,35,4,0,49,49,0,2,41,0
194,גאליה,853,מועצה אזורית,מרכז,גן רוה,5527,22.15933015,91,155,1,6,148,15,125,15,2,183,183,5,10,140,10
195,גן שורק,311,מועצה אזורית,מרכז,גן רוה,5527,9.600285008,29,48,5,3,40,7,39,0,9,53,53,1,2,44,2
196,כפר הנגיד,582,מועצה אזורית,מרכז,גן רוה,5527,21.31319218,93,135,2,3,130,13,110,12,0,202,202,1,6,165,10
197,נטעים,174,מועצה אזורית,מרכז,גן רוה,5527,2.039698117,4,5,0,0,5,0,4,1,0,8,8,0,0,7,0
198,עיינות,156,מועצה אזורית,מרכז,גן רוה,5527,166.7183638,81,113,0,3,110,7,92,14,0,173,173,0,11,129,9
199,פלמחים,597,מועצה אזורית,מרכז,גן רוה,5527,7.400042099,104,170,0,5,165,32,127,9,5,188,188,1,18,141,6
200,שטח כללי - גן רוה,5527,מועצה אזורית,מרכז,גן רוה,5527,6.703385098,35,65,0,1,64,8,53,3,1,62,62,0,4,53,1
201,גני תקווה,229,מועצה מקומית,מרכז,גני תקווה,229,73.44539608,155,174,0,8,166,29,102,38,38,242,242,11,30,154,7
202,דאלית אל כרמל,494,מועצה מקומית,חיפה,דאלית אל כרמל,494,36.75969521,347,552,1,18,533,138,384,29,42,602,602,15,19,458,26
203,דבוריה,489,מועצה מקומית,צפון,דבוריה,489,43.51585937,240,411,2,13,396,105,293,13,18,418,418,6,4,315,13
204,דימונה,2200,עירייה,דרום,דימונה,2200,2.562874285,565,821,10,24,787,141,607,62,120,949,949,25,35,586,33
205,דיר אל אסד,490,מועצה מקומית,צפון,דיר אל אסד,490,79.21479629,407,843,2,7,834,184,626,28,40,706,706,6,9,550,12
206,דיר חנא,492,מועצה מקומית,צפון,דיר חנא,492,53.60252093,478,1087,2,15,1070,253,798,32,33,819,819,4,3,593,12
207,אייל,716,מועצה אזורית,מרכז,דרום השרון,5520,72.13518718,303,473,2,11,460,54,401,17,11,622,622,0,13,452,30
208,אלישמע,841,מועצה אזורית,מרכז,דרום השרון,5520,24.83261078,64,99,0,4,95,12,74,10,2,129,129,1,10,101,3
209,גבעת השלושה,870,מועצה אזורית,מרכז,דרום השרון,5520,79.0783238,294,454,5,8,441,50,368,30,5,597,597,9,23,430,41
210,גבעת חן,207,מועצה אזורית,מרכז,דרום השרון,5520,15.56157345,21,36,0,3,33,4,31,1,0,40,40,2,4,29,2
211,גן חיים,239,מועצה אזורית,מרכז,דרום השרון,5520,5.519364212,9,12,0,0,12,1,11,0,0,18,18,0,0,15,1
212,גני עם,218,מועצה אזורית,מרכז,דרום השרון,5520,3.986333953,2,2,0,0,2,0,1,1,0,4,4,0,1,3,0
213,גת רימון,128,מועצה אזורית,מרכז,דרום השרון,5520,64.04270752,45,61,1,2,58,7,48,6,0,88,88,2,11,57,4
214,חגור,717,מועצה אזורית,מרכז,דרום השרון,5520,27.96134896,81,133,1,3,129,20,96,16,1,162,162,4,12,117,6
215,חורשים,355,מועצה אזורית,מרכז,דרום השרון,5520,28.82388524,66,91,0,1,90,8,75,5,0,121,121,0,10,82,8
216,ירחיב,718,מועצה אזורית,מרכז,דרום השרון,5520,16.2494998,59,99,3,3,93,14,74,8,5,121,121,0,3,92,3
217,ירקונה,183,מועצה אזורית,מרכז,דרום השרון,5520,11.59523356,10,12,0,1,11,3,8,1,0,19,19,1,3,9,1
218,כפר מלל,98,מועצה אזורית,מרכז,דרום השרון,5520,12.26102433,13,15,0,0,15,2,10,2,0,23,23,2,2,15,0
219,כפר סירקין,249,מועצה אזורית,מרכז,דרום השרון,5520,18.52268348,43,80,0,5,75,8,62,8,1,87,87,1,10,58,3
220,מגשימים,722,מועצה אזורית,מרכז,דרום השרון,5520,28.25104396,78,114,1,11,102,10,93,9,2,153,153,0,19,98,7
221,מעש,230,מועצה אזורית,מרכז,דרום השרון,5520,40.11129813,100,135,2,9,124,24,100,8,8,188,188,6,31,123,8
222,מתן,1315,מועצה אזורית,מרכז,דרום השרון,5520,17.35000718,10,14,0,0,14,9,5,0,3,18,18,3,3,10,1
223,נוה ירק,858,מועצה אזורית,מרכז,דרום השרון,5520,8.19467548,34,49,1,1,47,4,37,8,1,65,65,0,7,46,1
224,נווה ימין,686,מועצה אזורית,מרכז,דרום השרון,5520,23.24840655,92,131,2,3,126,13,99,15,4,183,183,3,8,117,10
225,נחשונים,705,מועצה אזורית,מרכז,דרום השרון,5520,82.26212196,370,588,0,14,574,84,467,21,3,770,770,3,42,547,65
226,ניר אליהו,808,מועצה אזורית,מרכז,דרום השרון,5520,22.47723154,80,135,3,9,123,19,105,9,4,159,159,1,9,115,10
227,נירית,1236,מועצה אזורית,מרכז,דרום השרון,5520,2.170605795,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
228,עדנים,2035,מועצה אזורית,מרכז,דרום השרון,5520,20.86507594,46,63,0,1,62,6,51,5,1,90,90,0,12,66,1
229,עינת,871,מועצה אזורית,מרכז,דרום השרון,5520,39.99192974,198,315,3,8,304,43,248,23,5,393,393,2,18,278,26
230,צופית,198,מועצה אזורית,מרכז,דרום השרון,5520,15.28241222,43,65,0,4,61,15,46,3,3,71,71,1,8,52,1
231,צור יצחק,1345,מועצה אזורית,מרכז,דרום השרון,5520,72.13171898,44,58,0,0,58,8,44,5,4,82,82,1,3,61,3
232,צור נתן,1148,מועצה אזורית,מרכז,דרום השרון,5520,3.647449897,13,18,1,0,17,0,17,1,0,24,24,0,0,19,2
233,רמות השבים,206,מועצה אזורית,מרכז,דרום השרון,5520,9.461265201,20,23,0,1,22,0,20,2,2,35,35,1,4,25,0
234,רמת הכובש,184,מועצה אזורית,מרכז,דרום השרון,5520,11.58862938,53,66,0,0,66,7,57,2,0,107,107,2,1,87,1
235,שדה ורבורג,284,מועצה אזורית,מרכז,דרום השרון,5520,7.026487388,21,35,0,0,35,4,31,0,1,41,41,0,3,32,2
236,שדה חמד,2015,מועצה אזורית,מרכז,דרום השרון,5520,9.763170245,20,27,0,1,26,3,21,2,0,37,37,1,4,24,4
237,שטח כללי - דרום השרון,5520,מועצה אזורית,מרכז,דרום השרון,5520,20.05451151,406,589,1,22,566,82,451,44,36,758,758,13,36,522,37
238,אביטל,2052,מועצה אזורית,צפון,הגלבוע,5508,23.64880593,81,201,0,5,196,41,151,8,0,165,165,0,5,125,11
239,אדירים,113,מועצה אזורית,צפון,הגלבוע,5508,4.79001464,14,28,0,1,27,4,19,3,0,25,25,0,0,17,0
240,אומן,1108,מועצה אזורית,צפון,הגלבוע,5508,17.53325977,3,4,0,0,4,2,2,0,2,4,4,0,1,2,0
241,בית אלפא,95,מועצה אזורית,צפון,הגלבוע,5508,1.011951244,12,25,3,4,18,4,20,1,0,21,21,0,1,15,2
242,בית השיטה,242,מועצה אזורית,צפון,הגלבוע,5508,2.760891357,46,74,1,1,72,12,56,6,2,90,90,1,2,64,7
243,ברק,141,מועצה אזורית,צפון,הגלבוע,5508,0.995496025,3,4,0,0,4,1,3,0,0,6,6,1,0,4,0
244,גבע,86,מועצה אזורית,צפון,הגלבוע,5508,3.306918063,30,74,0,3,71,11,59,4,1,64,64,0,2,46,5
245,גדיש,145,מועצה אזורית,צפון,הגלבוע,5508,5.272873549,19,34,0,2,32,5,24,5,1,35,35,0,3,25,3
246,גדעונה,442,מועצה אזורית,צפון,הגלבוע,5508,31.71795816,2,2,0,0,2,0,2,0,0,2,2,1,1,0,0
247,גן נר,1274,מועצה אזורית,צפון,הגלבוע,5508,9.682505052,24,30,0,0,30,5,22,3,2,38,38,0,3,30,0
248,דבורה,146,מועצה אזורית,צפון,הגלבוע,5508,1.699742121,6,10,1,1,8,1,9,0,0,12,12,0,1,7,3
249,חבר,1110,מועצה אזורית,צפון,הגלבוע,5508,46.67463435,10,15,0,0,15,2,11,2,1,18,18,1,0,13,1
250,חפצי בה,90,מועצה אזורית,צפון,הגלבוע,5508,1.322106667,11,20,0,2,18,3,16,1,0,19,19,0,1,13,0
251,טיבה,497,מועצה אזורית,צפון,הגלבוע,5508,2.595485322,10,15,0,0,15,1,12,0,1,17,17,1,0,12,0
252,טמרה (יזרעאל(,547,מועצה אזורית,צפון,הגלבוע,5508,6.795833194,26,47,0,1,46,7,37,3,1,44,44,0,0,37,0
253,יזרעאל,452,מועצה אזורית,צפון,הגלבוע,5508,7.185075753,55,114,0,4,110,18,85,11,4,104,104,0,5,76,4
254,כפר יחזקאל,85,מועצה אזורית,צפון,הגלבוע,5508,2.303852976,25,55,2,4,49,10,41,4,0,57,57,1,3,41,3
255,מגן שאול,1155,מועצה אזורית,צפון,הגלבוע,5508,5.273626328,18,61,0,5,56,17,41,3,0,36,36,0,0,29,1
256,מולדת,269,מועצה אזורית,צפון,הגלבוע,5508,0.639874506,8,9,0,2,7,3,6,0,0,15,15,1,2,6,1
257,מוקיבלה,635,מועצה אזורית,צפון,הגלבוע,5508,7.38418537,23,32,1,1,30,9,21,2,2,45,45,3,1,30,0
258,מיטב,2054,מועצה אזורית,צפון,הגלבוע,5508,2.972220459,10,28,0,1,27,7,19,2,0,24,24,0,1,15,1
259,מיטב,2054,מועצה אזורית,צפון,הגלבוע,5508,65.7292388,10,28,0,1,27,7,19,2,0,24,24,0,1,15,1
260,מלאה,164,מועצה אזורית,צפון,הגלבוע,5508,0.455949458,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0
261,נאעורה,524,מועצה אזורית,צפון,הגלבוע,5508,8.744383794,48,76,2,4,70,11,60,5,1,81,81,0,0,55,3
262,נורית,833,מועצה אזורית,צפון,הגלבוע,5508,4.149894261,5,5,0,0,5,1,4,0,1,7,7,0,1,4,0
263,ניר יפה,165,מועצה אזורית,צפון,הגלבוע,5508,13.48717911,30,83,0,6,77,18,53,11,1,70,70,0,3,56,1
264,עין חרוד איחוד,89,מועצה אזורית,צפון,הגלבוע,5508,2.821374109,40,67,4,1,62,6,56,5,0,68,68,0,2,46,5
265,עין חרוד מאוחד,82,מועצה אזורית,צפון,הגלבוע,5508,2.762198051,35,78,0,1,77,16,59,3,1,69,69,0,2,45,3
266,פרזון,2053,מועצה אזורית,צפון,הגלבוע,5508,6.251765154,21,57,0,2,55,16,40,1,3,40,40,0,1,27,1
267,צנדלה,636,מועצה אזורית,צפון,הגלבוע,5508,16.93484527,44,124,0,5,119,22,97,5,0,88,88,0,1,62,3
268,רמת צבי,339,מועצה אזורית,צפון,הגלבוע,5508,0.987170222,8,16,1,0,15,5,11,0,1,12,12,0,0,9,0
269,שטח כללי - הגלבוע,5508,מועצה אזורית,צפון,הגלבוע,5508,0.510830854,32,68,1,7,60,6,54,6,0,55,55,0,5,46,3
270,תל יוסף,84,מועצה אזורית,צפון,הגלבוע,5508,3.1302081,53,120,0,1,119,26,88,5,1,122,122,0,1,98,7
271,אילת השחר,77,מועצה אזורית,צפון,הגליל העליון,5501,0.692945973,5,7,0,0,7,1,4,1,2,7,7,0,1,2,0
272,ברעם,667,מועצה אזורית,צפון,הגליל העליון,5501,1.557441252,21,27,1,0,26,2,23,2,0,26,26,0,1,18,2
273,גדות,35,מועצה אזורית,צפון,הגליל העליון,5501,5.877811984,34,76,0,3,73,17,58,1,0,64,64,0,3,43,1
274,גונן,852,מועצה אזורית,צפון,הגליל העליון,5501,1.711605065,12,19,0,1,18,1,18,0,0,19,19,0,0,15,2
275,דן,303,מועצה אזורית,צפון,הגליל העליון,5501,5.086397664,25,49,1,2,46,6,37,5,2,44,44,2,2,33,0
276,דפנה,302,מועצה אזורית,צפון,הגליל העליון,5501,3.38070337,19,35,0,2,33,5,29,1,2,32,32,0,1,27,0
277,הגושרים,356,מועצה אזורית,צפון,הגליל העליון,5501,1.380340152,8,21,0,0,21,8,13,0,0,14,14,0,0,11,0
278,יפתח,453,מועצה אזורית,צפון,הגליל העליון,5501,0.290206527,3,4,0,0,4,2,2,0,0,3,3,0,0,2,0
279,יראון,623,מועצה אזורית,צפון,הגליל העליון,5501,0.558887127,3,4,0,0,4,0,4,0,0,4,4,0,0,2,1
280,כפר בלום,357,מועצה אזורית,צפון,הגליל העליון,5501,2.908312927,15,31,0,1,30,5,24,2,0,25,25,0,3,18,1
281,כפר גלעדי,76,מועצה אזורית,צפון,הגליל העליון,5501,5.800949299,53,96,0,5,91,16,71,8,0,103,103,1,5,80,4
282,כפר הנשיא,443,מועצה אזורית,צפון,הגליל העליון,5501,1.163978476,11,15,0,1,14,2,11,1,1,16,16,0,0,13,0
283,כפר סולד,345,מועצה אזורית,צפון,הגליל העליון,5501,0.971607025,6,8,0,0,8,0,8,0,0,8,8,0,2,5,0
284,להבות הבשן,380,מועצה אזורית,צפון,הגליל העליון,5501,2.374896079,15,25,1,1,23,1,21,3,0,28,28,1,2,18,0
285,מחניים,308,מועצה אזורית,צפון,הגליל העליון,5501,8.054858191,52,93,0,5,88,10,79,4,1,88,88,0,1,67,5
286,מלכיה,596,מועצה אזורית,צפון,הגליל העליון,5501,1.458283539,13,16,1,3,12,0,15,1,1,14,14,0,5,5,1
287,מנרה,347,מועצה אזורית,צפון,הגליל העליון,5501,0.117445751,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
288,מעין ברוך,416,מועצה אזורית,צפון,הגליל העליון,5501,6.627147795,30,55,0,0,55,10,42,3,1,59,59,0,1,53,1
289,משגב עם,378,מועצה אזורית,צפון,הגליל העליון,5501,5.281141978,32,55,0,2,53,13,40,2,0,57,57,1,2,34,4
290,נאות מרדכי,408,מועצה אזורית,צפון,הגליל העליון,5501,1.935324036,9,10,0,0,10,2,8,0,0,17,17,1,2,13,0
291,סאסא,578,מועצה אזורית,צפון,הגליל העליון,5501,2.256236894,33,53,0,3,50,5,44,4,1,50,50,0,4,36,5
292,עמיעד,385,מועצה אזורית,צפון,הגליל העליון,5501,9.98726437,83,197,0,5,192,33,154,8,1,161,161,0,4,119,6
293,עמיר,319,מועצה אזורית,צפון,הגליל העליון,5501,0.542160902,2,4,0,0,4,0,3,1,0,2,2,0,0,1,0
294,צבעון,1213,מועצה אזורית,צפון,הגליל העליון,5501,7.272238324,4,5,0,0,5,0,4,1,0,5,5,0,1,3,0
295,קדרים,1211,מועצה אזורית,צפון,הגליל העליון,5501,6.459029384,42,77,0,3,74,9,64,4,0,83,83,2,3,54,5
296,שדה נחמיה,329,מועצה אזורית,צפון,הגליל העליון,5501,7.417527793,28,53,0,0,53,8,43,1,1,50,50,2,3,37,4
297,שטח כללי - הגליל העליון,5501,מועצה אזורית,צפון,הגליל העליון,5501,1.05531209,107,237,0,9,228,47,183,7,2,185,185,0,7,148,9
298,שמיר,366,מועצה אזורית,צפון,הגליל העליון,5501,2.927912948,22,39,0,1,38,3,34,2,0,36,36,2,2,29,1
299,שניר,1132,מועצה אזורית,צפון,הגליל העליון,5501,0.61652923,2,2,0,0,2,0,1,1,0,3,3,0,0,2,0
300,אילניה,49,מועצה אזורית,צפון,הגליל התחתון,5503,8.364683576,73,171,2,9,160,36,125,10,2,144,144,0,2,110,6
301,ארבל,701,מועצה אזורית,צפון,הגליל התחתון,5503,8.815207936,99,188,0,4,184,32,135,18,4,200,200,0,4,148,14
302,בית קשת,365,מועצה אזורית,צפון,הגליל התחתון,5503,2.684086012,28,65,1,9,55,13,51,1,2,47,47,2,3,32,3
303,בית רימון,1162,מועצה אזורית,צפון,הגליל התחתון,5503,1.901178485,22,40,0,0,40,10,27,3,0,38,38,0,1,26,3
304,גבעת אבני,1293,מועצה אזורית,צפון,הגליל התחתון,5503,46.73359317,33,57,0,0,57,11,44,1,2,59,59,1,0,43,4
305,הזורעים,307,מועצה אזורית,צפון,הגליל התחתון,5503,1.260643354,14,35,0,0,35,3,29,3,0,30,30,0,1,25,1
306,כפר זיתים,786,מועצה אזורית,צפון,הגליל התחתון,5503,0.463409654,6,7,0,2,5,1,6,0,0,9,9,0,3,6,0
307,כפר חיטים,255,מועצה אזורית,צפון,הגליל התחתון,5503,0.836649035,8,16,0,0,16,8,7,1,0,12,12,0,1,9,0
308,כפר קיש,388,מועצה אזורית,צפון,הגליל התחתון,5503,0.657322282,13,17,0,0,17,2,13,2,0,16,16,0,4,8,1
309,לביא,585,מועצה אזורית,צפון,הגליל התחתון,5503,1.626674458,31,73,0,6,67,16,53,3,0,60,60,1,0,50,2
310,מסד,1258,מועצה אזורית,צפון,הגליל התחתון,5503,2.306028976,15,32,0,0,32,10,18,2,0,22,22,0,0,15,2
311,מצפה,58,מועצה אזורית,צפון,הגליל התחתון,5503,13.08200806,37,75,2,4,69,9,57,9,2,76,76,0,2,62,3
312,מצפה נטופה,1190,מועצה אזורית,צפון,הגליל התחתון,5503,2.753932822,13,28,0,0,28,4,23,1,0,23,23,0,0,19,2
313,שדה אילן,721,מועצה אזורית,צפון,הגליל התחתון,5503,0.846237486,11,16,0,0,16,5,10,1,1,18,18,0,1,11,0
314,שדמות דבורה,306,מועצה אזורית,צפון,הגליל התחתון,5503,0.667528691,8,14,0,2,12,7,6,1,1,15,15,0,1,6,2
315,שטח כללי - הגליל התחתון,5503,מועצה אזורית,צפון,הגליל התחתון,5503,8.31413978,222,431,2,10,419,55,344,30,6,428,428,0,5,316,25
316,שרונה,292,מועצה אזורית,צפון,הגליל התחתון,5503,0.753508342,9,14,0,0,14,0,12,2,0,13,13,0,2,7,1
317,הוד השרון,9700,עירייה,מרכז,הוד השרון,9700,56.67217264,1092,1370,5,31,1334,186,1000,152,162,2032,2032,73,214,1431,44
318,חצבה,13,מועצה אזורית,דרום,הערבה התיכונה,5554,0.438262754,11,15,0,1,14,5,9,1,2,14,14,0,1,6,2
319,ספיר,1176,מועצה אזורית,דרום,הערבה התיכונה,5554,0.461975243,4,10,1,0,9,2,7,1,1,6,6,0,0,3,1
320,עידן,1175,מועצה אזורית,דרום,הערבה התיכונה,5554,0.060055251,2,2,0,1,1,0,2,0,0,2,2,0,0,1,0
321,עין יהב,806,מועצה אזורית,דרום,הערבה התיכונה,5554,0.27183361,7,10,0,1,9,2,3,3,0,10,10,0,3,2,1
322,פארן,1151,מועצה אזורית,דרום,הערבה התיכונה,5554,0.369125463,8,22,0,2,20,8,13,1,0,11,11,0,1,8,0
323,צופר,1150,מועצה אזורית,דרום,הערבה התיכונה,5554,0.215063925,4,7,0,0,7,0,6,1,0,9,9,0,0,7,1
324,צוקים,1262,מועצה אזורית,דרום,הערבה התיכונה,5554,1.102749153,2,15,0,2,13,2,10,3,0,3,3,0,0,1,1
325,שטח כללי - הערבה התיכונה,5554,מועצה אזורית,דרום,הערבה התיכונה,5554,0.033493796,47,120,6,10,104,22,74,19,0,82,82,0,3,56,7
326,הרצליה,6400,עירייה,תל אביב,הרצליה,6400,115.954154,2791,3395,11,76,3308,354,2531,377,340,5089,5089,162,583,3480,131
327,אושה,278,מועצה אזורית,חיפה,זבולון,5512,10.24766481,42,93,0,0,93,12,79,1,0,84,84,0,3,66,4
328,איבטין,652,מועצה אזורית,חיפה,זבולון,5512,62.43701569,40,71,0,1,70,14,55,2,3,59,59,0,2,46,2
329,חווא'לד,1321,מועצה אזורית,חיפה,זבולון,5512,16.06388867,4,9,0,0,9,3,6,0,0,4,4,0,0,3,0
330,יגור,96,מועצה אזורית,חיפה,זבולון,5512,44.01507772,359,608,4,10,594,71,500,31,5,742,742,0,8,556,52
331,כפר ביאליק,220,מועצה אזורית,חיפה,זבולון,5512,55.33754501,164,277,3,8,266,37,228,12,1,339,339,3,10,269,22
332,כפר המכבי,254,מועצה אזורית,חיפה,זבולון,5512,9.534627988,36,82,0,5,77,11,64,7,0,74,74,1,2,58,4
333,כפר חסידים א',112,מועצה אזורית,חיפה,זבולון,5512,21.14465505,190,415,1,6,408,59,323,31,5,399,399,0,4,325,21
334,נופית,1284,מועצה אזורית,חיפה,זבולון,5512,11.33488389,10,11,0,1,10,1,8,2,1,17,17,1,1,13,0
335,ראס עלי,990,מועצה אזורית,חיפה,זבולון,5512,22.78349136,9,15,0,0,15,3,11,0,4,11,11,1,1,6,0
336,רמת יוחנן,178,מועצה אזורית,חיפה,זבולון,5512,0.524531568,3,3,0,0,3,0,3,0,1,4,4,1,0,1,1
337,שטח כללי - זבולון,5512,מועצה אזורית,חיפה,זבולון,5512,21.64026699,468,869,3,16,850,121,681,64,4,973,973,1,12,765,51
338,שער העמקים,237,מועצה אזורית,חיפה,זבולון,5512,10.95633829,31,43,0,0,43,3,35,5,0,58,58,0,4,45,4
339,זכרון יעקב,9300,מועצה מקומית,חיפה,זכרון יעקב,9300,13.03674351,411,584,2,18,564,95,418,56,54,723,723,13,43,532,14
340,זמר,1290,מועצה מקומית,מרכז,זמר,1290,18.60992021,153,275,1,3,271,60,202,13,16,239,239,0,1,175,9
341,זרזיר,975,מועצה מקומית,צפון,זרזיר,975,53.1983928,215,379,1,9,369,73,299,6,19,418,418,2,9,327,13
342,אילות,1126,מועצה אזורית,דרום,חבל אילות,5553,11.73384259,6,12,0,1,11,4,5,3,0,8,8,0,0,6,0
343,אליפז,1248,מועצה אזורית,דרום,חבל אילות,5553,0.323254833,4,4,0,0,4,0,4,0,0,6,6,0,0,5,0
344,גרופית,1129,מועצה אזורית,דרום,חבל אילות,5553,0.575713769,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0
345,יהל,1158,מועצה אזורית,דרום,חבל אילות,5553,1.100589243,4,13,1,0,12,0,11,2,0,6,6,0,1,2,1
346,יטבתה,866,מועצה אזורית,דרום,חבל אילות,5553,3.343796157,3,4,0,0,4,0,1,3,0,4,4,0,0,1,0
347,סמר,1156,מועצה אזורית,דרום,חבל אילות,5553,0.074141665,1,5,0,0,5,2,3,0,0,1,1,0,0,1,0
348,קטורה,1052,מועצה אזורית,דרום,חבל אילות,5553,1.088121343,9,15,2,0,13,2,8,4,1,11,11,0,3,5,1
349,שטח כללי - חבל אילות,5553,מועצה אזורית,דרום,חבל אילות,5553,0.066595457,172,333,10,22,301,52,250,20,1,280,280,3,21,199,15
350,שיזפון,1197,מועצה אזורית,דרום,חבל אילות,5553,9.003457849,2,2,0,0,2,0,2,0,0,2,2,0,2,0,0
351,בית גמליאל,571,מועצה אזורית,מרכז,חבל יבנה,5529,26.6750777,236,334,1,4,329,20,284,25,6,499,499,1,7,360,69
352,בית רבן,848,מועצה אזורית,מרכז,חבל יבנה,5529,54.71701085,5,5,0,0,5,0,4,1,0,10,10,0,1,7,1
353,בן זכאי,760,מועצה אזורית,מרכז,חבל יבנה,5529,29.82852411,87,125,1,3,121,15,103,6,3,174,174,1,12,115,17
354,בני דרום,592,מועצה אזורית,מרכז,חבל יבנה,5529,26.47725857,201,322,3,13,306,13,264,40,3,410,410,0,17,286,46
355,ישיבת כרם יבנה,1094,מועצה אזורית,מרכז,חבל יבנה,5529,1.431425088,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
356,קבוצת יבנה,334,מועצה אזורית,מרכז,חבל יבנה,5529,6.280955406,29,42,0,1,41,1,38,3,1,55,55,0,0,48,1
357,שטח כללי - חבל יבנה,5529,מועצה אזורית,מרכז,חבל יבנה,5529,4.328392564,51,73,0,1,72,5,62,4,0,108,108,0,1,83,8
358,אחיסמך,804,מועצה אזורית,מרכז,חבל מודיעין,5525,20.01693436,69,94,0,0,94,9,79,4,1,131,131,1,9,88,9
359,בארות יצחק,450,מועצה אזורית,מרכז,חבל מודיעין,5525,11.35099837,32,37,0,0,37,1,29,4,2,72,72,1,2,47,5
360,בית נחמיה,784,מועצה אזורית,מרכז,חבל מודיעין,5525,20.65517055,55,71,2,1,68,11,55,5,1,103,103,1,10,70,10
361,בית עריף,604,מועצה אזורית,מרכז,חבל מודיעין,5525,3.13585749,8,10,0,0,10,3,5,2,1,14,14,0,1,12,0
362,בן שמן,2013,מועצה אזורית,מרכז,חבל מודיעין,5525,25.42668942,71,96,0,3,93,7,84,3,0,120,120,2,22,71,4
363,בן שמן (כפר נוער),1084,מועצה אזורית,מרכז,חבל מודיעין,5525,278.9016109,204,343,3,3,337,29,286,24,2,456,456,1,10,356,27
364,בני עטרות,448,מועצה אזורית,מרכז,חבל מודיעין,5525,36.15486409,102,155,5,8,142,15,116,19,2,204,204,2,24,136,6
365,ברקת,2038,מועצה אזורית,מרכז,חבל מודיעין,5525,25.85192878,77,100,1,0,99,11,79,6,4,156,156,1,6,116,8
366,גבעת כח,802,מועצה אזורית,מרכז,חבל מודיעין,5525,20.26616796,69,104,1,1,102,13,82,4,1,132,132,0,9,91,6
367,גינתון,863,מועצה אזורית,מרכז,חבל מודיעין,5525,64.66436223,80,119,0,1,118,10,99,5,2,162,162,1,11,128,4
368,גמזו,745,מועצה אזורית,מרכז,חבל מודיעין,5525,12.89875681,112,147,0,1,146,10,128,8,0,237,237,2,11,169,20
369,חדיד,618,מועצה אזורית,מרכז,חבל מודיעין,5525,44.73537514,136,218,2,1,215,29,171,12,2,259,259,0,15,188,18
370,טירת יהודה,663,מועצה אזורית,מרכז,חבל מודיעין,5525,17.45238077,53,73,1,3,69,8,54,10,2,105,105,0,7,77,5
371,כפר דניאל,707,מועצה אזורית,מרכז,חבל מודיעין,5525,25.5631022,88,150,1,7,142,12,129,8,5,203,203,1,7,147,16
372,כפר טרומן,673,מועצה אזורית,מרכז,חבל מודיעין,5525,42.09572675,132,197,0,7,190,23,154,17,5,273,273,2,14,200,13
373,כפר רות,1166,מועצה אזורית,מרכז,חבל מודיעין,5525,3.369654756,5,7,0,0,7,1,5,0,0,10,10,0,1,6,0
374,לפיד,1310,מועצה אזורית,מרכז,חבל מודיעין,5525,33.96502798,15,17,0,1,16,2,12,1,2,28,28,0,0,25,0
375,מבוא מודיעים,1141,מועצה אזורית,מרכז,חבל מודיעין,5525,47.06500918,113,159,4,2,153,15,132,10,1,223,223,0,13,168,6
376,מזור,606,מועצה אזורית,מרכז,חבל מודיעין,5525,7.485686706,23,31,1,4,26,6,21,3,0,40,40,0,3,28,2
377,נופך,257,מועצה אזורית,מרכז,חבל מודיעין,5525,39.76720312,8,12,0,0,12,0,9,2,0,16,16,0,1,11,0
378,נחלים,449,מועצה אזורית,מרכז,חבל מודיעין,5525,17.8997899,55,79,1,3,75,13,56,8,6,102,102,1,7,76,4
379,רנתיה,616,מועצה אזורית,מרכז,חבל מודיעין,5525,5.015280069,12,12,0,0,12,1,11,0,1,20,20,0,3,13,2
380,שטח כללי - חבל מודיעין,5525,מועצה אזורית,מרכז,חבל מודיעין,5525,12.74525103,864,1357,8,51,1298,134,1111,90,12,1794,1794,8,91,1311,98
